Breed,Location of origin,Type,Body type,Coat type and length,Coat pattern
Foldex[10],Canada,Crossbreed between the Exotic Shorthair and Scottish Fold,Cobby,Short,All
German Rex,Germany,Mutation,Semi-foreign,Rex,All
Havana Brown,England; foundation stock from Thailand,Crossbreed between the Siamese and black short-haired cats,Semi-foreign,Short,Solid brown
Highlander,United States,Crossbreed between the Desert Lynx and Jungle Curl,Moderate,Short/long,All
"Himalayan or
Colorpoint Persian",United States and United Kingdom,Crossbreed between the Persian and Siamese,Cobby,Long,Colorpoint
Japanese Bobtail,Japan,Mutation,Moderate,Short/long,All
"Javanese or
Colorpoint Longhair","Developed in United States and Canada;
foundation stock from Southeast Asia","Crossbreed between the Balinese (with some Colorpoint Shorthair), Oriental Longhair and Siamese",Oriental,Long,Colorpoint
Kanaani,Germany,Hybrid of short-haired cats ×  African wildcat (Felis lybica),Semi-foreign,Short,"Solid black, chocolate spotted tabby or cinnamon spotted tabby"
Khao Manee,Thailand,Natural,Moderate,Short,Solid white
Kinkalow,United States,Crossbreed between the Munchkin and American Curl,Dwarf,Short,All
Korat,Thailand,Natural,Semi-foreign or semi-cobby and muscular,Short,Solid blue
Korean Bobtail,Korea,"Natural, mutation",Moderate,Short/long,Colorpoint
Korn Ja,Thailand,Natural,Small,Short,Solid black
"Kurilian Bobtail or
Kuril Islands Bobtail",eastern Russia and Japan,"Natural, mutation",Semi-cobby,Short/long,All
Lambkin,United States,Crossbreed between the Munchkin and Selkirk Rex,Dwarf,Rex,All
LaPerm,United States,Mutation,Moderate,Rex,All
Lykoi,United States,Mutation,Moderate,Hairless,Solid black roan
Maine Coon,United States,"Natural, crossbreed",Large,Semi-long to long,All
Manx,the Isle of Man,Mutation,Moderate,Short/long,All
Mekong Bobtail,Russia,Mutation,Moderate,Short,Colorpoint
Minskin,United States,Crossbreed between the Munchkin and Sphynx,Dwarf,Hairless,All
Minuet,United States,Crossbreed between the Persian and Munchkin,Dwarf,Short/Long,All
Munchkin,United States,Mutation,Dwarf,Short/long,All
Nebelung,United States,"Natural, Mutation",Foreign,Semi-long,Solid blue
Norwegian Forest Cat,Norway,Natural,Cobby,Long,All but colorpoint
Ocicat,United States,"Crossbreed between the Abyssinian, American Shorthair and Siamese",Large,Short,Spotted tabby
Ojos Azules,United States,Crossbreed,Moderate,Short,All
"Oregon Rex
(extinct)",United States,Mutation,Unknown,Rex,Unknown
Oriental Bicolor,"Developed in United States and United Kingdom, later in Continental Europe;
foundation stock ultimately from Thailand",Color variety of the Oriental Shorthair,Oriental,Short,Bicolor
Oriental Longhair,"Developed in United States and United Kingdom;
foundation stock ultimately from Thailand",Crossbreed between the Oriental Shorthair and long-haired cats,Oriental,Semi-long,"All; if colorpoint is considered to be a separate breed, it is called the Javanese"
Oriental Shorthair,"Developed in United States and United Kingdom;
foundation stock ultimately from Thailand",Crossbreed between the European Shorthair and Siamese,Oriental,Short,All
Persian (modern),"Developed in United States and Europe;
foundation stock from Greater Iran",Mutation of the Traditional Persian,Cobby,Long,All but colorpoint
Persian (traditional),Greater Iran,"Natural, but some crossbreeding with the Turkish Angora",Cobby,Long,All but colorpoint
Peterbald,Russia,"Crossbreed between the Donskoy, Oriental Shorthair and Siamese;
before this, it was between the Balinese and Javanese",Oriental,"Hairless, velour, brush, or straight coat",All
Pixie-bob,United States,Mutation (falsely claimed to be a bobcat hybrid early on),Medium,Short,Spotted tabby
"Ragamuffin or
Liebling (obsolete)",United States,"Crossbreed between the Ragdoll with limited out-crossing to the Himalayan, the Persian, and other long-haired cats",Cobby,Long,All
Ragdoll,United States,"Behavioral mutation in a crossbreed, presumed to be between the Persian or Turkish Angora and the Birman or Burmese",Cobby,Long,"Colorpoint, mitted, or bicolor"
Raas,"Raas Island, Indonesia",Natural,Moderate,Short,"Solid blue, solid cinnamon, or cinnamon colorpoint"
Russian Blue,Russia,Natural,"Moderate, Oriental",Short,Solid blue
"Russian White, Russian Black and Russian Tabby","Developed in Australia;
foundation stock from Russia","Crossbreeds between the Russian Blue and short-haired cats from Siberia, Russia",Moderate,Short,"Solid white, solid black and tabby"
Sam Sawet,Thailand,Color variety of the Thai,Moderate,Short,Solid
Savannah,United States,Hybrid of the domestic cat x serval (Leptailurus serval)[1],Large,Short,Spotted
Scottish Fold,United Kingdom (Scotland),Mutation of the bones and cartilage of the ears,Cobby,Short/long,All
Selkirk Rex,United States in 1988,"Mutation/crossbreed between the American Shorthair, Persian, Himalayan, Exotic Shorthair and British Shorthair",Large and cobby,"Short/long (longhair, sometimes in early generations, can appear to be semi-long)",All
Serengeti,United States,Crossbreed/hybrid between the Bengal and Oriental Shorthair,Oriental,Short,Spotted
Serrade Petit,France,Natural,Semi-cobby,Short,"Solid tan, solid orange and solid white"
"Siamese (modern)
(for traditional, see Thai below)","Developed in United States and Europe;
foundation stock from Thailand",Mutation of the Thai,Oriental,Short,Colorpoint
Siberian or Siberian Forest Cat; Neva Masquerade (colorpoint variety),"Russia, Ukraine",Natural,Semi-cobby,Semi-long,All
Singapura,"Developed in United States;
foundation stock from Singapore","Possibly a mutation of a crossbreed (excluding the Munchkin), solving why they’re so small",Small,Short,Ticked tabby
Snowshoe,United States,Crossbreed between the American Shorthair and Siamese,Moderate,Short,Mitted colorpoint
Sokoke,Kenya,Natural,Moderate,Short,Ticked tabby
Somali,"United States, Canada",Mutation,Cobby,Long,Ticked tabby
Sphynx,"Canada, Europe",Mutation,Oriental,Hairless,All
Suphalak,Thailand,Natural,Moderate,Short,Solid reddish-brown
"Thai or
Traditional, Classic, or Old-style Siamese;
Wichien Maat",Thailand,Natural,Moderate,Short,Colorpoint
"Thai Lilac, Thai Blue Point and Thai Lilac Point",Thailand,Color varieties of the Korat,Moderate,Short,Solid lilac and colorpoint (blue point and lilac point only)
Tonkinese,"Canada, United States",Crossbreed between the Burmese and Siamese,Oriental,Short,"Colorpoint, mink, or solid"
Toybob,Russia,short-haired cat,Dwarf,Short,all
Toyger,United States,Crossbreed/hybrid between the Bengal and short-haired cats,Moderate,Short,Mackerel tabby
Turkish Angora,Turkey,Natural,Semi-cobby,Semi-long,All
Turkish Van,"Developed in United Kingdom (England);
foundation stock from Turkey",Natural,Semi-cobby,Semi-long,Van pattern
Turkish Vankedisi,Turkey,Natural,Svelte,Long,Solid white
Ukrainian Levkoy,Ukraine,Crossbreed between the Donskoy and Scottish Fold,Moderate,Hairless,Solid gray
York Chocolate,"New York, United States",Natural,Moderate,Long,"Solid chocolate, solid lilac and solid taupe or any of these colors with white"
